date,headline,source,summary,directional_sentiment
2024-10-18,Wall Street Analysts Think Abbott (ABT) Is a Good Investment: Is It?,Yahoo,"According to the average brokerage recommendation (ABR), one should invest in Abbott (ABT). It is debatable whether this highly sought-after metric is effective because Wall Street analysts recommendations tend to be overly optimistic. Would it be worth investing in the stock?",0
2024-10-18,Abbott Laboratories Third Quarter 2024 Earnings: EPS Beats Expectations,Yahoo,Abbott Laboratories ( NYSE:ABT ) Third Quarter 2024 Results Key Financial Results Revenue: US$10.6b (up 4.9% from 3Q...,1
2024-10-18,3 No-Brainer Pharmaceutical Stocks to Buy With $500 Right Now,Yahoo,These stocks could deliver big over the long term.,0
2024-10-19,Want Decades of Passive Income? 2 Stocks to Buy Now and Hold Forever,Yahoo,These companies longtime shareholders have generally been rewarded.,0
2024-10-19,3 Fortune 500 Industry Leaders Boast Ideal October Dividends,SeekingAlpha,"Read an analysis of the top dividend-yielding stocks among the Fortune 500 companies of 2024, with impressive net gains and potential for growth.",0
2024-10-19,Abbott Laboratories (ABT): Strong Q2 Performance and Innovative Product Approvals,Yahoo,"We recently published a list of 10 Best Medical Stocks to Buy Now. In this article, we are going to take a look at where Abbott Laboratories (NYSE:ABT) stands against other best medical stocks to buy now. Navigating the Healthcare Landscape: Investment Opportunities and Growth Trends The medical and healthcare industry is one of the […]",1
2024-10-23,"Abbott and the Big Ten Conference Tackle U.S. Blood Shortages With First-of-Its-Kind, Nationwide Blood Donation Competition, The We Give Blood Drive",Finnhub,"* To help address the greatest need for blood in a generation, Abbott, a global leader in blood testing, and the Big Ten Conference are teaming up to host the first college conference-wide blood...",0
2024-10-23,"Abbott Laboratories: Promising Growth, Yet Fully Valued; A Wait-And-Watch Stock",SeekingAlpha,"Abbott Laboratories, a healthcare giant with diverse divisions, is normalizing post-pandemic as its medical devices drive growth. Explore more details here.",-1
2024-10-24,Abbott Initiates New Clinical Trial to Improve Outcomes in Patients with Advanced Heart Failure,Yahoo,"Abbott (NYSE: ABT) today announced a new, first-of-its-kind clinical trial designed to improve outcomes in patients with worsening heart failure who could benefit from advanced therapy options. The TEAM-HF trial, which is planned to enroll up to 850 patients across 75 sites worldwide, will measure pulmonary artery pressures (PAP) using Abbotts CardioMEMS™ HF System to objectively identify advanced heart failure patients at high risk of mortality who could benefit from a life-saving HeartMate 3™",1
2024-10-24,Organic Growth and Margin Expansion Make Abbott Laboratories (ABT) A Solid Investment,Yahoo,"Abbott Laboratories (ABT) stock has had negative returns for the last 3 years. But don’t get fooled by that when analyzing the stock’s performance. For a dividend aristocrat, one needs to look deeper before making any conclusions. Abbott Laboratories Devices and Pharma segments offer tremendous growth opportunities, making the stock look attractive at current price […]",1
2024-10-25,Abbott initiates clinical trial of its CardioMems in advanced heart failure,Yahoo,"Abbott (ABT) announced a new, first-of-its-kind clinical trial designed to improve outcomes in patients with worsening heart failure who could benefit from advanced therapy options. The TEAM-HF trial, which is planned to enroll up to 850 patients across 75 sites worldwide, will measure pulmonary artery pressures – PAP – using Abbott’s CardioMEMS HF System to objectively identify advanced heart failure patients at high risk of mortality who could benefit from a life-saving HeartMate 3 left ventri",1
2024-10-25,Molina Healthcare Q3 Earnings Beat Estimates on Growing Premiums,Yahoo,"MOHs third-quarter results benefit from growing membership and rising premiums, partially offset by rising expenses.",0
2024-10-25,Community Health Q3 Earnings Miss on Lower Adjusted Admissions,Yahoo,CYHs third-quarter earnings suffer a setback due to lower admissions and patient days. Improved occupancy levels and reimbursement rates partially offset the negatives.,0
2024-10-25,"DexCom Growing Into Its Valuation, But Still No Bargain",SeekingAlpha,DexComs Q3 results showed disappointing 2% revenue growth and a 26% decline in operating income. Read my DXCM earnings review.,0
2024-10-26,DexCom: Exiting The Expansion Phase As Competition Intensifies,SeekingAlpha,"DexComs stock fell sharply after mixed Q2 earnings and lowering full-year guidance, signaling a revaluation phase with lower growth expectations. Learn more on DXCM here.",0
2024-10-29,ABTs New Trial on Advanced Heart Failure Outcomes Set to Boost Stock,Yahoo,Abbott initiates the TEAM-HF trial to improve outcomes for advanced heart failure.,1
2024-10-29,My Best Dividend Aristocrats For November 2024,SeekingAlpha,"NOBL ETF went on a great run during Q3, gaining 11.6% during the quarter. Find out the best dividend aristocrat picks for November 2024.",0
2024-10-29,Abbott Laboratories stock outperforms competitors despite losses on the day,MarketWatch,Abbott Laboratories stock outperforms competitors despite losses on the day,1
2024-10-30,New Canadian Report Shows Positivity Instead of Criticism is Key in Diabetes Management,Yahoo,"Abbott (NYSE: ABT) today released new data highlighting the emotional challenges faced by people living with type 2 diabetes, revealing key motivators to help them manage their condition.",1
2024-10-30,Abbotts FreeStyle Libre® 2 and 3: First Continuous Glucose Monitoring Systems Approved for Use During Medical Imaging,Finnhub,Abbotts world-leading1 FreeStyle Libre 2 and 3 systems for people living with diabetes are now the only continuous glucose monitoring sensors 2 in the U.S. that users do not need to remove during...,1
2024-11-01,"Reckitt, Abbott Shares Rise After Baby-Formula Lawsuit Win",Yahoo,Shares in Reckitt Benckiser topped the Stoxx Europe 600 Index after a U.S. court cleared the company of liability in a case concerning its baby formulas.,1
2024-11-01,"Premarket movers: Amazon, Apple, Intel",MarketWatch,"Premarket movers: Amazon, Apple, Intel",0
2024-11-01,Abbott shares rise after securing first win in premature infant formula trial,Yahoo,"A jury in St. Louis, Missouri found on Thursday that Abbott and Reckitt unit Mead Johnson are not responsible for a young boys severe intestinal disease, marking the first victory for the companies after large losses in two previous trials.  The lawsuit was one of about 1,000 similar cases pending nationwide over allegations the companies failed to warn that their specialized formulas used by newborn intensive care units in hospitals could cause necrotizing enterocolitis (NEC).  NEC almost exclusively affects premature infants and has an estimated mortality rate of more than 20%.",1
2024-11-01,Decoding Abbott Laboratories (ABT): A Strategic SWOT Insight,Yahoo,Insightful Analysis of Abbott Laboratories Market Position and Future Prospects,0
2024-11-01,"Reckitt, Abbott surge after winning an NEC case",Yahoo,"Investing.com -- A jury ruled on Thursday that Abbott Laboratories (NYSE:ABT) and Mead Johnson, a division of Reckitt Benckiser (LON:RKT), are not liable for a young boys severe intestinal disease, marking a significant win for the companies after substantial losses in similar cases.",1
2024-11-01,"Abbott, Reckitt Stocks Gain as Baby Formula Makers Score Rare Legal Win",Yahoo,"Shares of Abbott Laboratories are rising and those of Reckitt Benckiser are gaining in London trading Friday, a day after a Missouri jury cleared the two infant formula makers of liability for a boys debilitating intestinal disease.",1
2024-11-04,Abbott Laboratories : Late-Breaking Data Shows Sustained Benefits of Abbotts Esprit™ BTK System for People Battling Peripheral Artery Disease Below the Knee,Finnhub,Two-year LIFE BTK data demonstrates sustained safety and efficacy of Abbotts Esprit BTK Everolimus Eluting Resorbable Scaffold System in treating peripheral artery disease below the knee ...,1
2024-11-05,Is Abbott Laboratories (ABT) the Best Pharma Stock to Buy Right Now?,Yahoo,"We recently compiled a list of the 10 Best Pharma Stocks To Buy Right Now. In this article, we are going to take a look at where Abbott Laboratories (NYSE:ABT) stands against the other pharma stocks. Healthcare takes the concept of ‘defensive’ further than almost any industry, encompassing many companies that provide patient care, engage in […]",1
2024-11-08,UK regulator flags concerns and remedies for sale of baby formula,Finnhub,"Britains competition watchdog flagged concerns and potential solutions regarding the distribution of infant formulas on Friday, which could help improve the sector as well as manage costs for...",-1
2024-11-08,"If You Invested $10,000 In Abbott Laboratories Stock 10 Years Ago, How Much Would You Have Now?",Yahoo,"Abbott Laboratories (NYSE:ABT), together with its subsidiaries, discovers, develops, manufactures and sells health care products worldwide. It is set to report its Q4 2024 earnings on Jan. 22, 2025. Wall Street analysts expect the company to post an ...",0
2024-11-13,Abbott Laboratories (NYSE:ABT) shareholders have earned a 8.6% CAGR over the last five years,Yahoo,"When you buy and hold a stock for the long term, you definitely want it to provide a positive return. Furthermore...",1
