date,relevance_score,category,rationale,evidence_spans
2024-10-18,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""Intuitive Surgical Stock Pops on Earnings Beat. What Wall Street Thinks of the Re"", ""ock charged higher after the pioneer of robotic-assisted surgery turned in a strong set of earnings.  In""]"
2024-10-18,0.34,Indirectly Related,Mentions intuitive surgical or sector/peer factors with plausible but weaker near-term impact on intuitive surgical.,"[""Intuitive Surgical Stock Hits Record High on da Vinci Devi"", ""Intuitive Surgical beat profit and sales forecasts on high""]"
2024-10-18,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""Intuitive Surgical Q3 Earnings Beat, Procedures Robust""]"
2024-10-18,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""rgical Shares Hit 52-Week High After 3Q Earnings, Revenue Beat Expectations"", ""fter the company reported third-quarter earnings and revenue that beat analysts expectat""]"
2024-10-18,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""Q3 2024 Intuitive Surgical Inc Earnings Ca"", ""Q3 2024 Intuitive Surgical Inc Earnings Ca""]"
2024-10-18,0.12,Unrelated,General market or unrelated content with no expected near-term effect on intuitive surgical.,"[""Baron Health Care Fund Q3 2024 Shareholder Letter""]"
2024-10-18,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""d-Quarter Results Top Street Views Amid Procedure Volume Gains"", ""d-Quarter Results Top Street Views Amid Procedure Volume Gains""]"
2024-10-18,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""Intuitive Surgical Inc (ISRG) Q3 2024 Earnings Call Highlights: Strong R"", ""urgical Inc (ISRG) reports a robust 17% revenue increase and significant growth in da V""]"
2024-10-18,0.06,Unrelated,General market or unrelated content with no expected near-term effect on intuitive surgical.,"[""Dow At Record High; Nvidia Gains But Tesla Takes A Hit From FSD Probe (Live Coverage)""]"
2024-10-18,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""Intuitive Surgical (ISRG) Q3 2024 Earnings Call Transcript"", ""ISRG earnings call for the period ending September 30""]"
2024-10-19,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""Intuitive Surgical : Q3 2024 Investor Presentation"", ""Investor Presentation Q3 2024 © 2024 Intuitive Surgical Operatio""]"
2024-10-19,0.92,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""Intuitive Surgical Surges 9% on Strong Q3 Results and Regulatory Wins"", ""Robotic-assisted surgery leader posts 17% revenue growth, expand""]"
2024-10-19,0.12,Unrelated,General market or unrelated content with no expected near-term effect on intuitive surgical.,"[""Robotic Surgery Leader, Mobile Carrier Jump To New Highs""]"
2024-10-19,0.34,Indirectly Related,Mentions intuitive surgical or sector/peer factors with plausible but weaker near-term impact on intuitive surgical.,"[""Intuitive Surgical (ISRG): Financial Growth Fueled by AI-D"", ""e, we are going to take a look at where Intuitive Surgical, Inc. (NASDAQ:ISRG) stands against othe""]"
2024-10-19,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""Intuitive Surgical Shares Surge 6% as Q3 Earnings Beat Expectations"", ""Intuitive Surgicals Q3 results surpass estimates, with increas""]"
2024-10-19,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""ntuitive Surgical Breaks Out On Massive Earnings Beat, But 2025 Launch Remains Key"", ""obotic surgery giant beat third-quarter earnings expectations.""]"
2024-10-19,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""ntuitive Surgical stock moves higher on Q3 earnings beat"", ""robotics developer topped third quarter earnings estimates. Market Domination co-hosts J""]"
2024-10-19,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move intuitive surgical next week.","[""to Estimates, Intuitive Surgical (ISRG) Q3 Earnings: A Look at Key Metrics""]"
2024-10-19,0.48,Indirectly Related,Mentions intuitive surgical or sector/peer factors with plausible but weaker near-term impact on intuitive surgical.,"[""Decoding Intuitive Surgical Inc (ISRG): A Strategic SWOT Insight"", ""engths and Challenges: A Deep Dive into Intuitive Surgical Inc (ISRG) SWOT Analysis""]"
