date,relevance_score,category,rationale,evidence_spans
2024-10-18,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move nextera energy next week.","[""Countdown to NextEra (NEE) Q3 Earnings: A Look at Estimates Beyond Re"", ""e business might have performed for the quarter ended September 2024.""]"
2024-10-18,0.06,Unrelated,General market or unrelated content with no expected near-term effect on nextera energy.,"[""If I Retired Today: A Diversified 11-Sector Stock Portfolio For Growth And Income""]"
2024-10-19,0.12,Unrelated,General market or unrelated content with no expected near-term effect on nextera energy.,"[""Janes September 2024 Retirement Income Update: Knowing When To Sell A Great Investment""]"
2024-10-19,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move nextera energy next week.","[""tEra Energy (NEE) to $91 from $83 and keeps an Outperform rating on the shares. The""]"
2024-10-19,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move nextera energy next week.","[""NextEra Energy board declares quarterly dividend"", ""gy, Inc. (NYSE: NEE) declared a regular quarterly common stock dividend of $0.515 per s""]"
2024-10-20,0.12,Unrelated,General market or unrelated content with no expected near-term effect on nextera energy.,"[""11-14% Yielding Dividend Growers: 2 To Buy And 1 To Sell""]"
2024-10-21,0.36,Indirectly Related,Mentions nextera energy or sector/peer factors with plausible but weaker near-term impact on nextera energy.,"[""CenterPoint (CNP) doesnt possess the right combination of the""]"
2024-10-21,0.48,Indirectly Related,Mentions nextera energy or sector/peer factors with plausible but weaker near-term impact on nextera energy.,"[""Is It Worth Investing in NextEra (NEE) Based on Wall Streets Bullish Vie"", ""average brokerage recommendation (ABR), NextEra (NEE) should be added to ones portfolio""]"
2024-10-21,0.12,Unrelated,General market or unrelated content with no expected near-term effect on nextera energy.,"[""SRV: Still Looking Like A Solid Midstream Investment""]"
2024-10-22,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move nextera energy next week.","[""Pre-Q3 Earnings: How Should You Play NextEra E"", ""NEEs earnings for the third quarter are likely to hav""]"
