date,directional_score,category,rationale,evidence_spans
2024-10-18,0,Neutral,No clear short-term directional signal for this article.,"[""Intuitive Surgical Stock Pops on Earnings Beat. What Wall Street Thinks of the Results."", ""Intuitive Surgical  stock charged higher after the pioneer of robotic-assisted surgery turned in a strong set of earnings.  Intuitive Surgical stock gained 8.8% to $515.58 in late morning trading, ...""]"
2024-10-18,0,Neutral,No clear short-term directional signal for this article.,"[""Intuitive Surgical Stock Hits Record High on da Vinci Device Demand"", ""Intuitive Surgical beat profit and sales forecasts on higher demand for its minimally invasive da Vinci surgical devices.""]"
2024-10-18,0,Neutral,No clear short-term directional signal for this article.,"[""Intuitive Surgical Q3 Earnings Beat, Procedures Robust"", ""ISRGs third-quarter results reflect a healthy demand for procedures. Higher pricing boosts procedure sales. An improvement in margins buoys well.""]"
2024-10-18,0,Neutral,No clear short-term directional signal for this article.,"[""Intuitive Surgical Shares Hit 52-Week High After 3Q Earnings, Revenue Beat Expectations"", ""By Chris Wack Intuitive Surgical shares were up 9% to $516.38 after the company reported third-quarter earnings and revenue that beat analysts expectations. The Sunnyvale, Calif., companys...""]"
2024-10-18,0,Neutral,No clear short-term directional signal for this article.,"[""Q3 2024 Intuitive Surgical Inc Earnings Call""]"
2024-10-18,0,Neutral,No clear short-term directional signal for this article.,"[""Baron Health Care Fund Q3 2024 Shareholder Letter"", ""In Q3 2024, Baron Health Care Fund advanced 5.81% (Inst), vs. 6.74% gain for the Russell 3000 Health Care Index (Benchmark). Click here to read the full letter.""]"
2024-10-18,0,Neutral,No clear short-term directional signal for this article.,"[""Intuitive Surgical Third-Quarter Results Top Street Views Amid Procedure Volume Gains""]"
2024-10-18,0,Neutral,No clear short-term directional signal for this article.,"[""Intuitive Surgical Inc (ISRG) Q3 2024 Earnings Call Highlights: Strong Revenue and Procedure ..."", ""Intuitive Surgical Inc (ISRG) reports a robust 17% revenue increase and significant growth in da Vinci procedures, while navigating capital pressures in Europe and China.""]"
2024-10-18,1,Bullish,Positive keyword(s) detected.,"[""Dow At Record High; Nvidia Gains But Tesla Takes A Hit From FSD Probe (Live Coverage)""]"
2024-10-18,0,Neutral,No clear short-term directional signal for this article.,"[""Intuitive Surgical (ISRG) Q3 2024 Earnings Call Transcript"", ""ISRG earnings call for the period ending September 30, 2024.""]"
2024-10-19,1,Bullish,Positive keyword(s) detected.,"[""Intuitive Surgical : Q3 2024 Investor Presentation"", ""Investor Presentation Q3 2024 © 2024 Intuitive Surgical Operations, Inc. ...""]"
2024-10-19,1,Bullish,Positive keyword(s) detected.,"[""Intuitive Surgical Surges 9% on Strong Q3 Results and Regulatory Wins"", ""Robotic-assisted surgery leader posts 17% revenue growth, expands da Vinci installations, and secures South Korean approval for its latest system""]"
2024-10-19,0,Neutral,No clear short-term directional signal for this article.,"[""Robotic Surgery Leader, Mobile Carrier Jump To New Highs"", ""A leading robotic surgery stock hit a new high on Friday and is in a buy zone. A telecom stock also hit a new high.""]"
2024-10-19,1,Bullish,Positive keyword(s) detected.,"[""Intuitive Surgical (ISRG): Financial Growth Fueled by AI-Driven Da Vinci Systems"", ""We recently published a list of 10 Best Medical Stocks to Buy Now. In this article, we are going to take a look at where Intuitive Surgical, Inc. (NASDAQ:ISRG) stands against other best medical sto...""]"
2024-10-19,0,Neutral,No clear short-term directional signal for this article.,"[""Intuitive Surgical Shares Surge 6% as Q3 Earnings Beat Expectations"", ""Intuitive Surgicals Q3 results surpass estimates, with increased Da Vinci system sales and 28% net income growth""]"
2024-10-19,1,Bullish,Positive keyword(s) detected.,"[""Intuitive Surgical Breaks Out On Massive Earnings Beat, But 2025 Launch Remains Key"", ""Intuitive Surgical stock surged early Friday after the robotic surgery giant beat third-quarter earnings expectations.""]"
2024-10-19,0,Neutral,No clear short-term directional signal for this article.,"[""Intuitive Surgical stock moves higher on Q3 earnings beat"", ""Intuitive Surgical (ISRG) soars by over 10% in Friday trading after the biotech and medical robotics developer topped third quarter earnings estimates. Market Domination co-hosts Julie Hyman and Jo...""]"
2024-10-19,0,Neutral,No clear short-term directional signal for this article.,"[""Compared to Estimates, Intuitive Surgical (ISRG) Q3 Earnings: A Look at Key Metrics"", ""While the top- and bottom-line numbers for Intuitive Surgical (ISRG) give a sense of how the business performed in the quarter ended September 2024, it could be worth looking at how some of its key...""]"
2024-10-19,0,Neutral,No clear short-term directional signal for this article.,"[""Decoding Intuitive Surgical Inc (ISRG): A Strategic SWOT Insight"", ""Unveiling the Strengths and Challenges: A Deep Dive into Intuitive Surgical Inc (ISRG) SWOT Analysis""]"
2024-10-19,1,Bullish,Positive keyword(s) detected.,"[""Intuitive Surgical price target raised to $525 from $475 at Stifel"", ""Stifel analyst Rick Wise raised the firm’s price target on Intuitive Surgical (ISRG) to $525 from $475 and keeps a Buy rating on the shares. The company delivered “strong” Q3 results and the two mo...""]"
2024-10-19,0,Neutral,No clear short-term directional signal for this article.,"[""AI Leaders Broadcom, SentinelOne Lead 5 Stocks Near Buy Points"", ""The top stocks to watch tap several hot trends: artificial intelligence, natural foods, robotic surgeries and podcasts.""]"
2024-10-19,1,Bullish,Positive keyword(s) detected.,"[""Intuitive Surgical Third Quarter 2024 Earnings: Beats Expectations"", ""Intuitive Surgical ( NASDAQ:ISRG ) Third Quarter 2024 Results Key Financial Results Revenue: US$2.04b (up 17% from 3Q...""]"
2024-10-21,0,Neutral,No clear short-term directional signal for this article.,"[""Intuitive Surgical: The Da Vinci Code"", ""Intuitive Surgical, world leader in robot-assisted surgery, recently published its financial results for the third quarter of 2024. The company is once again surprising on the upside, and seems to...""]"
2024-10-21,0,Neutral,No clear short-term directional signal for this article.,"[""Results: Intuitive Surgical, Inc. Exceeded Expectations And The Consensus Has Updated Its Estimates"", ""Its been a good week for Intuitive Surgical, Inc. ( NASDAQ:ISRG ) shareholders, because the company has just released...""]"
