date,relevance_score,category,rationale,evidence_spans
2024-10-18,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Wall Street Analysts Think Abbott (ABT) Is a Good Investmen"", ""metric is effective because Wall Street analysts recommendations tend to be overly opti""]"
2024-10-18,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott Laboratories Third Quarter 2024 Earnings: EPS Beats Expectations"", ""rter 2024 Results Key Financial Results Revenue: US$10.6b (up 4.9% from 3Q...""]"
2024-10-18,0.06,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""3 No-Brainer Pharmaceutical Stocks to Buy With $500 Right Now""]"
2024-10-19,0.06,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Want Decades of Passive Income? 2 Stocks to Buy Now and Hold Forever""]"
2024-10-19,0.36,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""impressive net gains and potential for growth.""]"
2024-10-19,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""g Q2 Performance and Innovative Product Approvals"", ""Abbott Laboratories (NYSE:ABT) stands against other best medical stocks to buy now""]"
2024-10-21,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Helping People Recover From Devastating Hurricanes""]"
2024-10-21,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""pany with strong segments, particularly Medical Devices. Read why I assign a hold rating for A""]"
2024-10-22,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Top Research Reports for Visa, Netflix & Merck""]"
2024-10-23,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott and the Big Ten Conference Tackle U.S."", ""reatest need for blood in a generation, Abbott, a global leader in blood testing, and""]"
2024-10-23,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Promising Growth, Yet Fully Valued; A Wait-And-Watch Stock"", ""ns, is normalizing post-pandemic as its medical devices drive growth. Explore more details her""]"
2024-10-24,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""s continues to benefit from the growing sales of its flagship, sensor-based continuou""]"
2024-10-24,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Organic Growth and Margin Expansion Make Abbott Laboratories (ABT"", ""nalyzing the stock’s performance. For a dividend aristocrat, one needs to look deeper be""]"
2024-10-25,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott initiates clinical trial of its CardioMems in advanced heart fai"", ""ABT) announced a new, first-of-its-kind clinical trial designed to improve outcomes in patient""]"
2024-10-25,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Insights Abbott Laboratories estimated fair value is US$127 based on 2 Stage Free""]"
2024-10-25,0.44,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""results showed disappointing 2% revenue growth and a 26% decline in operating income.""]"
2024-10-25,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Molina Healthcare Q3 Earnings Beat Estimates on Growing Premiums""]"
2024-10-25,0.44,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""ent days. Improved occupancy levels and reimbursement rates partially offset the negatives.""]"
2024-10-26,0.44,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""3 Dividend Growth Stocks You Can Buy and Hold Forever""]"
2024-10-26,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""HCA Healthcare Beats on Q3 Earnings, Reaffirms 2024 EPS View""]"
2024-10-26,0.44,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""ignaling a revaluation phase with lower growth expectations. Learn more on DXCM here.""]"
2024-10-29,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""ABTs New Trial on Advanced Heart Failure Outcomes Set"", ""Abbott initiates the TEAM-HF trial to improve outcomes for advanced heart""]"
2024-10-29,0.06,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""My Best Dividend Aristocrats For November 2024""]"
2024-10-29,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott Laboratories stock outperforms competit"", ""Abbott Laboratories stock outperforms competit""]"
2024-10-30,0.44,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""eStyle Libre® 2 and 3: First Continuous Glucose Monitoring Systems Approved for Use During Medical"", ""th diabetes are now the only continuous glucose monitoring sensors 2 in the U.S. that users do not""]"
2024-10-30,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott (NYSE: ABT) today released new data hig""]"
2024-10-31,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott Laboratories stock underperforms Thursd"", ""Abbott Laboratories stock underperforms Thursd""]"
2024-11-01,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott Laboratories stock outperforms competit"", ""Abbott Laboratories stock outperforms competit""]"
2024-11-01,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott Labs and Reckitt Benckiser shares surge"", ""Abbott Labs and Reckitt Benckiser shares surge""]"
2024-11-01,0.92,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""ratories Shares Rise After Baby-Formula Verdict"", ""oys intestinal disease, the result of a lawsuit that alleged...""]"
2024-11-01,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Premarket movers: Amazon, Apple, Intel""]"
2024-11-01,0.34,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Decoding Abbott Laboratories (ABT): A Strategic SWOT In"", ""Insightful Analysis of Abbott Laboratories Market Position and Future""]"
2024-11-01,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Wall Street Breakfast Podcast: Boeing Aims To Land Union Deal...Again""]"
2024-11-01,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Reckitt, Abbott surge after winning an NEC case"", ""ng.com -- A jury ruled on Thursday that Abbott Laboratories (NYSE:ABT) and Mead Johnso""]"
2024-11-01,0.06,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Health Care Up on Defensive Demand -- Health Care Roundup""]"
2024-11-01,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","["", Abbott Shares Rise After Baby-Formula Lawsuit Win""]"
2024-11-01,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Returns At Abbott Laboratories (NYSE:ABT) Are On The Way""]"
2024-11-01,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""g first win in premature infant formula trial"", ""nies after large losses in two previous trials.  The lawsuit was one of about 1,000 s""]"
2024-11-01,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""tt, Reckitt Stocks Rise on Baby-Formula Lawsuit Win"", ""for premature babies, following a civil trial.""]"
2024-11-01,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott, Reckitt Stocks Gain as Baby Formula Makers Score Rare Lega"", ""ing and those of Reckitt Benckiser are gaining in London trading Friday, a day aft""]"
2024-11-01,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Reckitt’s Mead Johnson, Abbott cleared by US court in infant-formula c""]"
2024-11-01,0.92,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""rges After Avoiding Another Eye-Popping Verdict In Baby Formula Trial""]"
2024-11-02,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""nsible for an infant death originally claimed to be tied to the companys baby form""]"
2024-11-04,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""ratories : Late-Breaking Data Shows Sustained Benefits of Abbotts Esprit™ BTK Syst"", ""Two-year LIFE BTK data demonstrates sustained safety and efficacy of Abbotts Espri""]"
2024-11-05,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott Laboratories Insiders Sell US$3.0m Of S"", ""In the last year, many Abbott Laboratories ( NYSE:ABT ) insiders sold""]"
2024-11-05,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott price target raised to $149 from $143 at Barclays"", ""Barclays analyst Matt Miksic raised the firm’s price tar""]"
2024-11-05,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott Laboratories stock rises Tuesday, still"", ""Abbott Laboratories stock rises Tuesday, still""]"
2024-11-05,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott Laboratories (NYSE:ABT) stands against the other pharma stocks. Healthcare""]"
2024-11-07,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Makes It On UBS’ List Of Stocks For The AI, Growth & Low Rates Era"", ""made a list of UBS’ Best Stocks In The AI, Growth & Low Rates Era: Top 29 US Stoc""]"
2024-11-07,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott Laboratories stock underperforms Wednes"", ""Abbott Laboratories stock underperforms Wednes""]"
2024-11-08,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Todays Research Daily features new research reports on 16 m""]"
2024-11-08,0.44,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""solutions regarding the distribution of infant formulas on Friday, which could help improve th""]"
2024-11-08,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""ldwide. It is set to report its Q4 2024 earnings on Jan. 22, 2025. Wall Street analysts""]"
2024-11-08,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""The Zacks Analyst Blog Highlights like Amazon.com, Procte"", ""bbott and NVE are part of the Zacks top Analyst Blog.""]"
2024-11-08,0.36,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""ocks for their track record of earnings growth.""]"
2024-11-09,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Is Abbott Laboratories (NYSE:ABT) Recent Stock Pe"", ""Most readers would already know that Abbott Laboratories (NYSE:ABT) stock increased""]"
2024-11-09,0.06,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Dividend Champion, Contender, And Challenger Highlights: Week Of November 10""]"
2024-11-13,0.44,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""US transcatheter tricuspid valve repair market grows by over 50% since l"", ""e TTVR market has witnessed significant growth of 56% in the US in 2024s third quarter""]"
2024-11-13,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott Laboratories (NYSE:ABT) shareholders have earned a 8.6% CAGR over the last""]"
2024-11-14,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""3 Ultra-Safe Dividend Stocks That Have Been Paying Dividends for More Than 100 Years""]"
2024-11-14,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Tracking Jeremy Granthams GMO Capital Portfolio - Q3 2024 Update""]"
2024-11-16,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""y when compared to competitors despite daily gains"", ""y when compared to competitors despite daily gains""]"
2024-11-17,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""bbott Laboratories (ABT): A Magnificent Dividend Growth Stock to Buy Now"", ""ly compiled a list of the 8 Magnificent Dividend Growth Stocks to Buy Now. In this artic""]"
2024-11-18,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""latzer™ Amulet™ Device for People With Atrial Fibrillation at Risk of Stroke""]"
2024-11-18,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Inside a $400 billion bet on the brain-computer interface revolution""]"
2024-11-19,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""IXJ: Healthcare Sector Dashboard For November""]"
2024-11-19,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""How I Repurposed My Late Fathers Trust Account""]"
2024-11-19,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""DexCom Pairs Its Glucose Monitor With Oura’s Smart Ring""]"
2024-11-19,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""be added to ones portfolio. Wall Street analysts overly optimistic recommendations cast""]"
2024-11-21,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Major companies that are also popular short-selling stocks""]"
2024-11-22,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""y when compared to competitors despite daily gains"", ""y when compared to competitors despite daily gains""]"
2024-11-23,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""2 Dividend Kings to Buy for a Lifetime of Passive"", ""Dividend Kings are among the best income stocks""]"
2024-11-24,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""is largely controlled by institutional shareholders who own 78% of the company""]"
2024-11-25,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""d the first patient procedures with its investigational transcatheter aortic valve implantati""]"
2024-11-25,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott Laboratories: Investors Should Wait For A Pullback"", ""Abbott Laboratories revenue and return on invested capital could be""]"
2024-11-26,0.92,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Guard™ Embolic Prevention Stent System (EPS) for the prevention of stroke, today an""]"
2024-11-26,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""y when compared to competitors despite daily gains"", ""y when compared to competitors despite daily gains""]"
2024-11-28,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Todays Research Daily features new research reports on 16 m""]"
2024-11-29,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Growing EPD Business Supports ABT Stock Amid Macroeconomic Issues"", ""Abbott has a unique opportunity to scale a cap""]"
2024-11-29,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Key Insights The projected fair value for Abbott Laboratories is US$13""]"
2024-11-29,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""The Zacks Analyst Blog Abbott, BlackRock, ConocoPhillips,"", ""and Optex Systems are included in this Analyst Blog.""]"
2024-11-30,0.06,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""The Dividend Aristocrats Ranked By Quality Scores: November 2024""]"
2024-11-30,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott (ABT) Stock Declines While Market Impro"", ""the closing of the recent trading day, Abbott (ABT) stood at $118.77, denoting a -0.1""]"
2024-12-02,0.44,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Stereotaxis To Drive Transformational Growth Via Full Ecosystem Launch In 2025""]"
2024-12-02,0.44,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Itâll be a busy December for dividend growth investors, with 25 companies announcing""]"
2024-12-03,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott Laboratories stock underperforms Monday"", ""Abbott Laboratories stock underperforms Monday""]"
2024-12-05,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""timistic recommendations of Wall Street analysts make the effectiveness of this highly""]"
2024-12-05,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Returns At Abbott Laboratories (NYSE:ABT) Are On The Way""]"
2024-12-06,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott (ABT) Registers a Bigger Fall Than the"", ""In the latest trading session, Abbott (ABT) closed at $115.59, marking a -0.3""]"
2024-12-07,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott Laboratories stock rises Friday, still"", ""Abbott Laboratories stock rises Friday, still""]"
2024-12-07,0.06,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Oracle And Broadcom Are Top Names Reporting Results As Earning Season Winds Down""]"
2024-12-08,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""University of Nebraska Wins the Abbott and Big Ten Conferences Nationwide We G"", ""he country donated blood as part of the Abbott-Big Ten nationwide competition this col""]"
2024-12-08,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""University of Nebraska Wins the Abbott and Big Ten Conferences Nationwide We G"", ""This college football season, Abbott (NYSE: ABT) and the Big Ten put fandom""]"
2024-12-09,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Insiders At Abbott Laboratories Sold US$3.0m In Stock, All"", ""Over the past year, many Abbott Laboratories ( NYSE:ABT ) insiders sold""]"
2024-12-09,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""University of Nebraska Wins the Abbott and Big Ten Conferences Nationwide We G"", ""ABBOTT PARK, INDIANAPOLIS - This college footb""]"
2024-12-10,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""bbott Laboratories (ABT) Among the Best Dividend Kings to Invest In For Safe Dividend Gr"", ""recently compiled a list of the 8 Best Dividend Kings To Invest In For Safe Dividend Gr""]"
2024-12-12,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""On Ozempic? Big Food Makers Have a New Label for You""]"
2024-12-12,0.12,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Market Mania Won’t Last. Buy These Stocks to Weather the Storm, Analyst Says.""]"
2024-12-12,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott (ABT) Stock Sinks As Market Gains: Heres Why""]"
2024-12-13,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott Increases Quarterly Dividend for 53rd Consecutive Year"", ""increased the companys quarterly common dividend to 59 cents per share, an increase of 7""]"
2024-12-13,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott Labs Extends Royal Dividend Run With 7.3% Increase"", ""Kellaher Abbott Laboratories board has raised the quarterly dividend by 7.3%, to 5""]"
2024-12-14,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""Abbott Laboratories stock underperforms Friday"", ""Abbott Laboratories stock underperforms Friday""]"
2024-12-14,0.48,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""PBH or ABT: Which Is the Better Value Stock Right"", ""PBH vs. ABT: Which Stock Is the Better Value Option""]"
2024-12-14,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move abbott next week.","[""Abbott Increases Dividend Again, Showcasing Decades of Reliable S"", ""Abbott boosts dividends and highlights steady growth, reflecti""]"
2024-12-14,0.06,Unrelated,General market or unrelated content with no expected near-term effect on abbott.,"[""Dividend Champion, Contender, And Challenger Highlights: Week Of December 15""]"
2024-12-14,0.44,Indirectly Related,Mentions abbott or sector/peer factors with plausible but weaker near-term impact on abbott.,"[""100,000: Build An 8-Stock Portfolio For Growth And Value""]"
