date,relevance_score,category,rationale,evidence_spans
2024-10-18,0.34,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""dia reclaims perfect status as it joins Broadcom, Arm and Arista Networks on this screen""]"
2024-10-18,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""how American Superconductor (AMSC) and Broadcom Inc. (AVGO) have performed compared to""]"
2024-10-18,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Is Broadcom Inc. (AVGO) a Buy as Wall Street Analys"", ""ommendation (ABR), one should invest in Broadcom Inc. (AVGO). It is debatable whether th""]"
2024-10-18,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Jim Cramer on Broadcom Inc. (AVGO): ‘I Like That Stock Very Mu"", ""e, we are going to take a look at where Broadcom Inc. (NASDAQ:AVGO) stands against the o""]"
2024-10-18,0.12,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""QQQ: AI Growth Inflection Is Gaining Steam""]"
2024-10-18,0.06,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""Semiconductor ETFs: Not-So-Shocking Growth""]"
2024-10-18,0.06,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""Which Dividend ETF Is Superior - VIG Vs. SCHD""]"
2024-10-19,0.34,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Micron, Broadcom, and 3 More Chip Stocks to Buy on the D"", ""Sur said his top chip stock ideas are  Broadcom Marvell Technology Micron Technology An""]"
2024-10-19,0.06,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""1 Super Semiconductor ETF That Could Turn $400 Per Month Into $1 Million, With Nvidias Help""]"
2024-10-19,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move broadcom next week.","[""Broadcom: Spinning Revenue Into Shareholder Gold""]"
2024-10-19,0.12,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""Should You Buy Semiconductor Stocks Right Now?""]"
2024-10-19,0.34,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""AI Leaders Broadcom, SentinelOne Lead 5 Stocks Near Buy Poi""]"
2024-10-19,0.06,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""These 8 Index ETFs Are a Retirees Best Friend""]"
2024-10-19,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Goldman Sachs: Broadcom Inc. (NASDAQ:AVGO) Is A Stock With High"", ""E. In this piece, we will look at where Broadcom Inc. (NASDAQ:AVGO) ranks in the list. A""]"
2024-10-19,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Is Broadcom a Top Artificial Intelligence (AI) Stoc"", ""Broadcoms connectivity solutions are driving its""]"
2024-10-20,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Broadcom Inc. (AVGO): Hedge Funds Are Bullish On"", ""e, we are going to take a look at where Broadcom Inc. (NASDAQ:AVGO) stands against the o""]"
2024-10-20,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move broadcom next week.","[""The optimism from CEOs of Wall Streets leading artificial int""]"
2024-10-20,0.34,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Is Broadcom Inc. (AVGO) the Best IoT Stock To Buy N"", ""e, we are going to take a look at where Broadcom Inc. (NASDAQ:AVGO) stands against the o""]"
2024-10-20,0.12,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""3 Stocks That Could Be Big Winners if Kamala Harris Wins but the GOP Controls Congress""]"
2024-10-20,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move broadcom next week.","[""Broadcom Inc. (AVGO) Reports 47% Revenue Growth Driven by AI Demand; Mizuho Rais"", ""each 6,000 by Year-End Amid AI Boom and Earnings Growth Joining CNBC’s Squawk Box to […]""]"
2024-10-20,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Is Broadcom Inc. (AVGO) the Stock With the Lowest S"", ""e, we are going to take a look at where Broadcom Inc. (NASDAQ:AVGO) stands against the o""]"
2024-10-20,0.12,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""This Hot Tech Stock Just Knocked Tesla Out Of The S&P 500 Magnificent Seven. Should You Be Buying?""]"
2024-10-21,0.12,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""Baron Opportunity Fund Q3 2024 Shareholder Letter""]"
2024-10-21,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""acks Market Edge Highlights: NVDA, AMD, AVGO, LRCX and TSM"", ""NVDA, AMD, AVGO, LRCX and TSM have been highlighted in""]"
2024-10-21,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Broadcom (AVGO): Among the Most Profitable Stock"", ""e, we are going to take a look at where Broadcom (NASDAQ:AVGO) stands against the other""]"
2024-10-22,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Broadcom Inc. (AVGO) Rises As Market Takes a Dip"", ""Broadcom Inc. (AVGO) concluded the recent tradin""]"
2024-10-22,0.86,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move broadcom next week.","[""vailing in the market after strong bank earnings and increasing hopes of a soft landing.""]"
2024-10-22,0.34,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""AI Leaders Broadcom And SentinelOne Lead 5 Stocks Near Buy""]"
2024-10-22,0.12,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""Nvidia Stock Wavers. The Earnings Bar Is Getting Set High.""]"
2024-10-22,0.92,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move broadcom next week.","[""Broadcom to Host VMware Explore 2024 Barcelona for Customers an"", ""(NASDAQ: AVGO), which recently acquired VMware, is hosting VMware Explore 2024 Barcelo""]"
2024-10-22,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move broadcom next week.","[""Broadcom: Guarded Outlook Near Record Highs""]"
2024-10-22,0.12,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""Prediction: 1 Unstoppable Stock Will Join Nvidia, Apple, Microsoft, Amazon, Alphabet, and Meta in the $1 Trillion Club In 2025""]"
2024-10-22,0.12,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""Billionaire Jeff Yass Sold 73% of Susquehannas Stake in Nvidia and Is Piling Into This Beloved Artificial Intelligence (AI) Stock Instead""]"
2024-10-23,0.48,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""Broadcom (AVGO): Consistent Growth Through AI Se"", ""e, we are going to take a look at where Broadcom Inc. (NASDAQ:AVGO) stands against other""]"
2024-10-23,0.34,Indirectly Related,Mentions broadcom or sector/peer factors with plausible but weaker near-term impact on broadcom.,"[""lyst Blog Highlights NVIDIA, Microsoft, Broadcom and Comstock"", ""NVIDIA, Microsoft, Broadcom and Comstock are included in this Analy""]"
2024-10-23,0.12,Unrelated,General market or unrelated content with no expected near-term effect on broadcom.,"[""Prediction: 1 Stock That Will Be Worth More Than Alphabet 5 Years From Now""]"
