date,relevance_score,category,rationale,evidence_spans
2024-10-18,0.12,Unrelated,General market or unrelated content with no expected near-term effect on novo nordisk.,"[""European Equities Close Mostly Higher in Friday Trading; Novo Nordisks Catalent Acquisition Faces Roadblock""]"
2024-10-18,0.12,Unrelated,General market or unrelated content with no expected near-term effect on novo nordisk.,"[""Discover October 2024s Stocks Estimated To Be Trading Below Fair Value""]"
2024-10-18,0.92,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move novo nordisk next week.","[""Novo Nordisk A/S: Alhemo® recommended for European approval as f"", ""itive opinion, recommending approval of Alhemo® (concizumab) as the first once-daily s""]"
2024-10-18,0.48,Indirectly Related,Mentions novo nordisk or sector/peer factors with plausible but weaker near-term impact on novo nordisk.,"[""Jim Cramer Says Novo Nordisk A/S (NVO) ‘Doesn’t Hold A Candle To Eli"", ""e, we are going to take a look at where Novo Nordisk A/S (NYSE:NVO) stands against other sto""]"
2024-10-21,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move novo nordisk next week.","[""Novo Nordisk: A Diabetes Leader Among Big Pharma, But Still Over"", ""k is among global pharma leaders in the diabetes and weight loss segments. Read why I th""]"
2024-10-21,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move novo nordisk next week.","[""Novo Nordisk A/S: Oral semaglutide demonstrates a 14% reduction in risk of"", ""nced the headline results from the SOUL cardiovascular outcomes trial. The double-blinded, randomised t""]"
2024-10-21,0.48,Indirectly Related,Mentions novo nordisk or sector/peer factors with plausible but weaker near-term impact on novo nordisk.,"[""Novo Nordisk: Time To Stay Calm Amid The Recent Plun"", ""Novo Nordisk faces growth deceleration but shows pro""]"
2024-10-21,0.44,Indirectly Related,Mentions novo nordisk or sector/peer factors with plausible but weaker near-term impact on novo nordisk.,"[""Terns Pharmaceuticals: Another Potential GLP-1 Entrant"", ""Terns Pharmaceuticals (TERN) stock has risen somewhat due to""]"
2024-10-21,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move novo nordisk next week.","[""Wegovy Maker Novo Nordisks Oral Diabetes Pill"", ""ased the headline results from the SOUL Phase 3 cardiovascular outcomes trial. Last yea""]"
2024-10-21,0.44,Indirectly Related,Mentions novo nordisk or sector/peer factors with plausible but weaker near-term impact on novo nordisk.,"[""jectable drugs such as Ozempic, Wegovy, Mounjaro and Zepbound have rocketed to fame as b""]"
2024-10-21,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move novo nordisk next week.","[""The pill form of Ozempic can reduce the risk of heart attacks an"", ""f Novo Nordisk’s (NVO) blockbuster drug Ozempic was found to cut the risk of heart atta""]"
2024-10-21,0.12,Unrelated,General market or unrelated content with no expected near-term effect on novo nordisk.,"[""NVOs Alhemo Gets Positive CHMP Opinion in EU for Haemophilia A or B""]"
2024-10-21,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move novo nordisk next week.","[""riven by the stellar performance of its GLP-1 drugs.""]"
2024-10-21,0.75,Directly Related,"Article contains company-specific, near-term catalyst (earnings/regulatory/transaction) likely to move novo nordisk next week.","[""Novo Nordisk A/S - share repurchase programme"", ""7 August 2024, Novo Nordisk initiated a share repurchase programme in accordance with Article 5""]"
2024-10-22,0.12,Unrelated,General market or unrelated content with no expected near-term effect on novo nordisk.,"[""Novo Nordisks Rybelsus Sets New Standard: 14% Cut in Cardiovascular Risks for Diabetics""]"
